Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
D51	44702	0	0	0	0	0	0	0	31691	0	70.89	nan	44702	0	22351	0	22351	0	24542	0	54.9	nan	25874	0	5817	0	13.01	nan	658	0	299	0	44702
D52	98866	0	0	0	0	0	0	0	69068	0	69.86	nan	98866	0	49433	0	49433	0	53420	0	54.03	nan	56252	0	12816	0	12.96	nan	1612	0	705	0	98866
D53	61424	0	0	0	0	0	0	0	42959	0	69.94	nan	61424	0	30712	0	30712	0	33202	0	54.05	nan	35056	0	7903	0	12.87	nan	1012	0	449	0	61424
D54	25206	0	0	0	0	0	0	0	17727	0	70.33	nan	25206	0	12603	0	12603	0	13794	0	54.73	nan	14522	0	3205	0	12.72	nan	412	0	173	0	25206
D55	91270	0	0	0	0	0	0	0	65087	0	71.31	nan	91270	0	45635	0	45635	0	50300	0	55.11	nan	53150	0	11937	0	13.08	nan	1600	0	754	0	91270
D56	215936	0	0	0	0	0	0	0	152362	0	70.56	nan	215936	0	107968	0	107968	0	118010	0	54.65	nan	124102	0	28260	0	13.09	nan	3288	0	1482	0	215936
D57	78192	0	0	0	0	0	0	0	55478	0	70.95	nan	78192	0	39096	0	39096	0	42888	0	54.85	nan	45386	0	10092	0	12.91	nan	1412	0	659	0	78192
D58	43438	0	0	0	0	0	0	0	30794	0	70.89	nan	43438	0	21719	0	21719	0	23636	0	54.41	nan	25170	0	5624	0	12.95	nan	836	0	375	0	43438
D59	67838	0	0	0	0	0	0	0	47666	0	70.26	nan	67838	0	33919	0	33919	0	36678	0	54.07	nan	38890	0	8776	0	12.94	nan	1198	0	581	0	67838
D6	72116	0	0	0	0	0	0	0	49594	0	68.77	nan	72116	0	36058	0	36058	0	38366	0	53.2	nan	40622	0	8972	0	12.44	nan	1266	0	609	0	72116
D60	56016	0	0	0	0	0	0	0	38805	0	69.27	nan	56016	0	28008	0	28008	0	29814	0	53.22	nan	31564	0	7241	0	12.93	nan	936	0	420	0	56016
