,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
144,E82,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
145,E84,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
146,E85,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
147,E86,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,33NV
148,E87,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,33NV
149,E9,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,32UT
150,E90,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,34UT
151,E92,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
152,E94,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
153,E95,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
154,F1,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
155,F10,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
156,F11,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,31NV
157,F12,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
158,F13,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
159,F14,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
160,F15,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
161,F16,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
162,F17,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
163,F18,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
164,F19,0,0.001,0,0.008,0.99,1,0,0.005,0,0.001,0.998,0.001,11CO
165,F2,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,31NV
166,F20,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
167,F21,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
168,F22,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
169,F23,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
170,F24,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,12AZ
171,F25,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
172,F26,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
173,F27,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
174,F28,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
175,F29,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,0.999,6KS
176,F30,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,6KS
177,F33,0,0.001,0,0.003,0,0.001,0.995,1,0,0.001,0,0.999,8OK
