id,longitude,latitude,pop,region
E24,-113.58,37.07,32UT,2
E23,-113.58,37.07,32UT,2
E75,-114.4,36.38,33NV,2
E86,-114.4,36.38,33NV,2
E87,-114.4,36.38,33NV,2
E85,-114.4,36.38,33NV,2
E63,-114.4,36.38,33NV,2
E64,-114.4,36.38,33NV,2
E76,-114.4,36.38,33NV,2
E61,-114.4,36.38,33NV,2
E62,-114.4,36.38,33NV,2
E18,-112.93,39.23,34UT,2
E17,-112.93,39.23,34UT,2
E39,-112.93,39.23,34UT,2
E40,-112.93,39.23,34UT,2
E41,-112.93,39.23,34UT,2
E42,-112.93,39.23,34UT,2
E5,-112.93,39.23,34UT,2
E51,-112.93,39.23,34UT,2
E52,-112.93,39.23,34UT,2
E53,-112.93,39.23,34UT,2
E7,-112.93,39.23,34UT,2
E8,-112.93,39.23,34UT,2
E90,-112.93,39.23,34UT,2
E19,-112.93,39.23,34UT,2
E20,-112.93,39.23,34UT,2
E54,-112.93,39.23,34UT,2
H51,-103.25,38.26,4CO,1
H53,-103.25,38.26,4CO,1
H59,-103.25,38.26,4CO,1
H52,-103.25,38.26,4CO,1
H37,-103.25,38.26,4CO,1
H54,-103.25,38.26,4CO,1
H40,-103.25,38.26,4CO,1
H39,-103.25,38.26,4CO,1
H60,-103.25,38.26,4CO,1
H62,-103.25,38.26,4CO,1
H38,-103.25,38.26,4CO,1
F39,-103.42,37.7,5CO,1
F38,-103.42,37.7,5CO,1
F52,-103.42,37.7,5CO,1
F51,-103.42,37.7,5CO,1
F26,-103.42,37.7,5CO,1
F27,-103.42,37.7,5CO,1
F50,-103.42,37.7,5CO,1
F25,-103.42,37.7,5CO,1
F73,-103.42,37.7,5CO,1
F74,-103.42,37.7,5CO,1
F49,-103.42,37.7,5CO,1
F60,-103.42,37.7,5CO,1
F37,-103.42,37.7,5CO,1
F61,-103.42,37.7,5CO,1
F59,-103.42,37.7,5CO,1
F28,-103.42,37.7,5CO,1
F72,-103.42,37.7,5CO,1
F62,-103.42,37.7,5CO,1
F71,-103.42,37.7,5CO,1
G47,-101.08,37.99,6KS,1
