sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
E56	204228	187911	0.920	93717	10788	0	5529	0	0
E57	225106	207422	0.921	103395	11760	0	5924	0	0
E58	205344	189633	0.923	94498	10391	0	5320	0	0
E59	205776	187331	0.910	93384	9659	0	8786	0	0
E60	126904	114784	0.904	57140	5833	0	6287	0	0
E61	101482	93254	0.919	46435	5484	0	2744	0	0
E62	227566	209465	0.920	104456	11893	0	6208	0	0
E63	104660	96178	0.919	47917	5588	0	2894	0	0
E64	92330	84402	0.914	42012	5046	0	2882	0	0
E65	18978	17323	0.913	8622	1109	0	546	0	0
E66	1698	1451	0.855	735	116	0	131	0	0
E67	108618	99601	0.917	49602	5662	0	3355	0	0
E68	201034	183674	0.914	91445	9856	0	7504	0	0
E69	72612	41393	0.570	20605	2522	0	28697	0	0
E7	188122	173758	0.924	86531	8763	0	5601	0	0
E70	69430	63143	0.909	31456	3334	0	2953	0	0
E72	12512	11381	0.910	5673	720	0	411	0	0
E75	79720	72039	0.904	35867	4484	0	3197	0	0
E76	222132	205487	0.925	102460	11263	0	5382	0	0
E77	151858	139913	0.921	69641	7741	0	4204	0	0
E78	129582	118594	0.915	59056	7238	0	3750	0	0
E8	116656	106292	0.911	52937	6556	0	3808	0	0
E80	444	296	0.667	150	39	0	109	0	0
E82	96744	62515	0.646	31186	3588	0	30641	0	0
E84	77926	71543	0.918	35614	4037	0	2346	0	0
E85	84660	78225	0.924	38992	4306	0	2129	0	0
E86	42386	32758	0.773	16320	1803	0	7825	0	0
E87	35960	32829	0.913	16367	1884	0	1247	0	0
E9	103792	94270	0.908	47021	5452	0	4070	0	0
E90	31764	28826	0.908	14362	1713	0	1225	0	0
E91	14180	12756	0.900	6345	749	0	675	0	0
E92	32008	29006	0.906	14451	1569	0	1433	0	0
E94	54744	50070	0.915	24930	2801	0	1873	0	0
E95	60104	51490	0.857	25749	3593	0	5021	0	0
F1	224904	191038	0.849	95302	11518	0	22348	0	0
F10	185662	128153	0.690	64038	7962	0	49547	0	0
F11	57314	30086	0.525	15020	2307	0	24921	0	0
F12	134346	101668	0.757	50672	6076	0	26602	0	0
F13	50362	37270	0.740	18571	2428	0	10664	0	0
F14	198132	146499	0.739	73046	8285	0	43348	0	0
F15	45550	39201	0.861	19508	2392	0	3957	0	0
F16	56554	41776	0.739	20850	3682	0	11096	0	0
F17	97028	75737	0.781	37799	5008	0	16283	0	0
F18	190116	148804	0.783	74260	9554	0	31758	0	0
F19	29580	17819	0.602	8898	1216	0	10545	0	0
